id,Name,PS Intelligence,PS Strength,PS Speed,PS Durability,PS Power,PS Combat,Overall PS,Gender,Race,Height,Weight,Full Name,First Appearance,Publisher,Alignment,Occupation,Base,Affiliation,Image,Year
195,Cyborg Superman,75,93,92,100,100,80,540,Male,Cyborg,Unknown,Unknown,Henry Henshaw,"Adventures Of Superman #466 (may, 1990)",Dc Comics,😈,-,"Warworld, Qward, Antimatter Universe, Formerly Biot, Sector 3601","Alpha Lantern Corps, Manhunters, Warworld, Formerly Apokolips And Sinestro Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/195-cyborg-superman.jpg,1990.0
196,Cyclops,75,10,23,42,76,80,306,Male,Mutant,191 Cm,88 Kg,Scott Summers,"X-men #1 (september, 1963)",Marvel Comics,😇,"Leader Of Mutant Race, Adventurer, Headmaster, Former Student, Radio Announcer","Xavier Institute, Salem Center, Westchester County, New York","X-men (leader, Founding Member); Formerly X-force (founder); Corsairs (squad Leader); The Twelve; X-factor/x-terminators (founding Member); 198",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/196-cyclops.jpg,1963.0
198,Dagger,63,10,35,42,52,70,272,Female,Unknown,0 Kg,52 Kg,Tandy Bowen,Spectacular Spiderman #64,Marvel Comics,😇,Vigilante,"Holy Ghost Church, 42nd Street, New York City","Cloak And Dagger, Defenders, League Of Losers, Marvel Knights, New Warriors, Secret Avengers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/198-dagger.jpg,
200,Daphne Powell,38,10,8,10,56,10,132,Female,Unknown,Unknown,Unknown,Daphne Powell,No Ordinary Family S01e01 (2010),Abc Studios,😇,Student,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/200-daphne-powell.jpg,2010.0
201,Daredevil,75,13,25,35,61,100,309,Male,Human,183 Cm,90 Kg,Matt Murdock,"Daredevil #1 (april, 1964)",Marvel Comics,😇,"Adventurer, Vigilante, Attorney At Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","None; Formerly: Partner Of Black Widow (natasha Romanoff), Defenders, S.h.i.e.l.d., Marvel Knights, Secret Avengers (civil War), Hand Leader.",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/201-daredevil.jpg,1964.0
202,Darkhawk,50,32,33,70,74,64,323,Male,Human,185 Cm,81 Kg,Christopher Powell,"Darkhawk #1 (march, 1991)",Marvel Comics,😇,Retired Superhero,"Los Angeles, California; Formerly New York City And Avengers Compound","Formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/202-darkhawk.jpg,1991.0
203,Darkman,75,14,23,85,12,28,237,Male,Unknown,Unknown,Unknown,Peyton Westlake,"Darkman (august 24, 1990)",Universal Studios,😇,Scientist,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/203-darkman.jpg,1990.0
204,Darkseid,88,100,83,100,100,95,566,Male,New God,267 Cm,817 Kg,Uxas,Superman's Pal Jimmy Olsen #134 (november 1970),Dc Comics,😈,Dictator Of Apokolips,-,"New Gods Of Apokolips(ruler), Secret Society Of Supervillains",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/204-darkseid.jpg,1970.0
206,Darkstar,38,8,35,42,79,64,266,Female,Mutant,168 Cm,56 Kg,Laynia Petrovna,"Champions #7 (august, 1976)",Marvel Comics,😇,Occupation Unknown,"(before Death) Paris, France (formerly) Moscow, Ussr; Los Angeles, California, United States","(at Death)x-corps (formerly) Champions, Winter Guard, Soviet Super Soldiers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/206-darkstar.jpg,1976.0
207,Darth Maul,56,48,50,30,100,100,384,Male,Dathomirian Zabrak,170 Cm,Unknown,,Star Wars Episode I: The Phantom Menace (1999),George Lucas,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/207-darth-maul.jpg,1999.0
208,Darth Vader,69,48,33,35,100,100,385,Male,Cyborg,198 Cm,135 Kg,Anakin Skywalker,Star Wars: Episode Iv - A New Hope (1977),George Lucas,😈,"Sith Lord, Supreme Commander Of The Imperial Fleet",Death Star,"Sith, Galactic Empire",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/208-darth-vader.jpg,1977.0
209,Dash,25,12,92,60,20,30,239,Male,Human,122 Cm,27 Kg,Dashiell Robert Parr,"The Incredibles (movies, 2004)",Dark Horse Comics,😇,-,-,"Incredible Family (genetic Member), National Supers Agency (ties), Edna Mode (receives Costumes And Gadgets From Her), Frozone (long-time Friend), Mirage (ally)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/209-dash.jpg,2004.0
210,Data,100,32,21,40,56,50,299,Male,Android,Unknown,Unknown,Data,-,Star Trek,😇,Lieutenant Commander,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/210-data.jpg,
211,Dazzler,63,10,33,60,100,55,321,Female,Mutant,173 Cm,52 Kg,Alison Blaire,X-men #130 (1980),Marvel Comics,😇,"Adventurer, Singer, Former Actress, Model, Revolutionary",-,"Formerly Excalibur, X-babies (guardian), Mojoverse Rebellion, X-men, Cat's Laughing, Gladiators",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/211-dazzler.jpg,1980.0
212,Deadman,50,10,33,100,100,42,335,Male,Human,183 Cm,90 Kg,Boston Brand,"Strange Adventures #205 (october, 1967)",Dc Comics,😇,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm Of The Just Dead","White Lantern Corps, Formerly Sentinels Of Magic, Seven Soldiers Of Victory, Justice League Of Apostles",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/212-deadman.jpg,1967.0
213,Deadpool,69,32,50,100,100,100,451,Male,Mutant,188 Cm,95 Kg,Wade Wilson,"New Mutants #98 (february, 1991)",Evil Deadpool,😐,"Mercenary; Former Enforcer, Government Operative, Sumo Wrestler, Soldier, Assassin, Anti-hero, Others","Cavern-x, Sedona, Arizona, Mobile","Thunderbolts (strike Team), Shares Body With Agent Preston; Formerly X-force, Deadpool Corps, Agency X, S.h.i.e.l.d.; Code Red, Six Pack, One World Church, Dp Inc., Weapon X, Weapon Plus, Heroes For Hire, Secret Defenders, Frightful Four, Team Deadpool, L",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/213-deadpool.jpg,1991.0
214,Deadshot,50,10,23,28,55,80,246,Male,Human,185 Cm,91 Kg,Floyd Lawton,"Batman #59 (june, 1950)",Dc Comics,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/214-deadshot.jpg,1950.0
215,Deathlok,69,32,30,70,40,60,301,Male,Cyborg,193 Cm,178 Kg,Luther Manning,"Astonishing Tales #25 (august, 1974)",Marvel Comics,😇,-,New York Area,"Former Member Of The Cia, Project: Alpha-mech, Us Army, Ally Of Godwulf's Redeemers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/215-deathlok.jpg,1974.0
216,Deathstroke,75,30,35,100,47,90,377,Male,Human,193 Cm,101 Kg,Slade Joseph Wilson,"New Teen Titans #2 (december, 1980)",Dc Comics,😐,"Mercenary; Former Soldier, Big-game Hunter",The Labyrinth (exact Location Is Currently Unknown),"The Society, Titans; Formerly Tartarus, The Injustice League",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/216-deathstroke.jpg,1980.0
217,Demogoblin,50,48,42,35,67,60,302,Male,Demon,185 Cm,95 Kg,,"Web Of Spider-man #86 (march, 1992)",Marvel Comics,😈,Demonic Redeemer,New York City,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/217-demogoblin.jpg,1992.0
218,Destroyer,50,95,58,98,85,70,456,Male,Unknown,188 Cm,383 Kg,,Journey Into Mystery #118 (1965),Marvel Comics,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/218-destroyer.jpg,1965.0
219,Diamondback,44,16,23,28,45,60,216,Male,Human,193 Cm,90 Kg,Willis Stryker,"Luke Cage, Hero For Hire#1 (1972)",Marvel Comics,😈,Criminal,-,"Syndicate, Formerly Bloods",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/219-diamondback.jpg,1972.0
220,Dl Hawkins,50,12,12,56,48,56,234,Male,Unknown,Unknown,Unknown,Daniel Lawrence Hawkins,Heroes S01e05 - Hiros,Nbc - Heroes,😇,"Construction Worker, Firefighter","Las Vegas, Nv",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/220-dl-hawkins.jpg,
221,Doc Samson,75,80,33,80,36,70,374,Male,Human / Radiation,198 Cm,171 Kg,Leonard Samson,"Incredible Hulk #141 (july, 1971)",Marvel Comics,😇,"Psychiatrist, Teacher, Adventurer, Former Special Consultant To Gamma Base","Psychiatrist, Teacher, Adventurer, Former Special Consultant To Gamma Base",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/221-doc-samson.jpg,1971.0
222,Doctor Doom,100,32,20,100,100,84,436,Male,Human,201 Cm,187 Kg,Victor Von Doom,Fantastic Four #5 (july 1962),Marvel Comics,😈,Monarch,"Castle Doom, Doomstadt, Latveria","Future Foundation; Formerly Cabal, Knights Of The Atomic Table, Acts Of Vengeance Prime Movers, Partner Of Namor, Employer Of The Terrible Trio, Fantastic Four (leader)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/222-doctor-doom.jpg,1962.0
224,Doctor Fate,81,16,25,80,100,50,352,Male,Human,188 Cm,89 Kg,Kent Nelson,"More Fun Comics #55 (may, 1940)",Dc Comics,😇,-,"Tower Of Fate, Salem, Massachusetts","Formerly All-star Squadron, Justice Society Of America, Justice League International, Black Lantern Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/224-doctor-fate.jpg,1940.0
225,Doctor Octopus,94,48,33,40,53,65,333,Male,Human,175 Cm,110 Kg,Otto Octavius,Amazing Spider-man #3 (july 1963),Marvel Comics,😈,"Former Atomic-research Consultant, Criminal Mastermind",New York City,Thunderbolts Army; Former Leader Of The Sinister Six And The Masters Of Evil V; Former Partner Of Green Goblin,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/225-doctor-octopus.jpg,1963.0
226,Doctor Strange,100,10,12,84,100,60,366,Male,Human,188 Cm,81 Kg,Stephen Strange,"Strange Tales #110 (july, 1963)",Marvel Comics,😇,"Sorcerer Supreme, Retired Neurosurgeon",-,"Defenders, Underground Avengers; Formerly The Order, Midnight Sons; Former Disciple Of The Ancient One",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/226-doctor-strange.jpg,1963.0
227,Domino,63,10,27,28,49,74,251,Female,Human,173 Cm,54 Kg,Neena Thurman,"X-force #8 (march, 1992)",Marvel Comics,😇,-,-,X-men; Formerly X-force; 198; X-corporation; The Underground; X-force; Six Pack,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/227-domino.jpg,1992.0
228,Donatello,88,14,46,60,58,75,341,Male,Mutant,Unknown,Unknown,,Teenage Mutant Ninja Turtles #1,Idw Publishing,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/228-donatello.jpg,
230,Doomsday,75,100,67,100,100,90,532,Male,Alien,244 Cm,412 Kg,Doomsday,Superman: The Man Of Steel #17 (nov 1992),Dc Comics,😈,Destroyer,-,"Secret Society Of Super Villains, Suicide Squad, Apokolips",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/230-doomsday.jpg,1992.0
231,Doppelganger,8,63,60,95,69,84,379,Male,Unknown,196 Cm,104 Kg,,Infinity War #1 (1992),Marvel Comics,😈,-,-,Formerly Carnage Family; Magus' Doppelgangers; Operative Of Demogoblin,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/231-doppelganger.jpg,1992.0
232,Dormammu,88,95,83,100,100,80,546,Male,Unknown,185 Cm,Unknown,Dormammu,Strange Tales #126 (1964),Marvel Comics,😈,"Despot, Conqueror",-,"Lords Of The Splinter Realms, Lords Of The Netherworlds; Allied With Umar, Loki, Doctor Doom, Underchild, Others",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/232-dormammu.jpg,1964.0
233,Dr Manhattan,88,100,42,100,100,42,472,Male,Human / Cosmic,Unknown,Unknown,Jonathan Osterman,"Watchmen #1 (september, 1986)",Dc Comics,😇,Scientist,New York City; Formerly Mars,"Watchmen, Crimebusters",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/233-dr-manhattan.jpg,1986.0
234,Drax The Destroyer,56,80,25,85,46,65,357,Male,Human / Altered,193 Cm,306 Kg,Arthur Sampson Douglas,"Iron Man #55 (february, 1973)",Marvel Comics,😇,-,C.i.t.t.; Formerly Monster Isle And Titan,"Guardians Of The Galaxy; Formerly Infinity Watch, Secret Defenders, United Front, Selects Of The Phalanx",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/234-drax-the-destroyer.jpg,1973.0
235,Ego,88,80,83,99,71,28,449,-,Unknown,Unknown,Unknown,Ego,Thor #132,Marvel Comics,😈,Inapplicable,Mobile,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/235-ego.jpg,
236,Elastigirl,63,32,33,95,52,70,345,Female,Human,168 Cm,56 Kg,Helen Parr,"The Incredibles (movies, 2004)",Dark Horse Comics,😇,-,-,"Incredible Family (co-leader), National Supers Agency (ties), Edna Mode (receives Costumes And Gadgets From Her), Frozone (long-time Friend), Mirage (ally), Snug Porter (receives Aircraft From Him)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/236-elastigirl.jpg,2004.0
237,Electro,69,10,50,56,67,64,316,Male,Human,180 Cm,74 Kg,Maxwell Dillon,Amazing Spider-man #9 (1964),Marvel Comics,😈,Professional Criminal,-,"Sinister Six Formerly Emissaries Of Evil, Frightful Four And Sinister Twelve",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/237-electro.jpg,1964.0
238,Elektra,63,11,30,28,59,100,291,Female,Human,175 Cm,59 Kg,Elektra Natchios,Daredevil #168,Marvel Comics,😇,"Assassin, Adventurer, Mercenary, Former Student, Dancer",-,"S.h.i.e.l.d.; Formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, Partner Of Daredevil And Deadpool",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/238-elektra.jpg,
239,Elle Bishop,50,8,12,42,63,42,217,Female,Unknown,Unknown,Unknown,,Heroes S02e05 - Fight Or Flight,Nbc - Heroes,😈,Agent Of The Company,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/239-elle-bishop.jpg,
240,Elongated Man,75,10,33,90,44,40,292,Male,Unknown,185 Cm,80 Kg,Ralph Dibny,Flash #112 (1960),Dc Comics,😇,Detective,"Opal City, Central City","Justice League Of America, Justice League Europe, Super Buddies, Outsiders, Croatoans, Black Lantern Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/240-elongated-man.jpg,1960.0
241,Emma Frost,75,63,35,90,100,42,405,Female,Unknown,178 Cm,65 Kg,Emma Frost,Uncanny X-men #132,Marvel Comics,😇,-,"(current) Emma Frost Operates From The Massachusetts Academy, Snow Valley, Massachusetts, (former) Hellfire Club Mansion In New York City, A Home In The Berkshire Mountains In Massachusetts (near The Massachusetts Academy), And Places Of Residence In Vari","Active Member Of The X-men, Instructor For Generation X, The Inner Circle Of The Hellfire Club",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/241-emma-frost.jpg,
242,Enchantress,63,14,25,60,100,40,302,Female,Human,168 Cm,57 Kg,June Moone,Strange Adventures #187,Dc Comics,😇,Artist; Magician,-,"Forgotten Villains, Sentinels Of Magic, Shadowpact, Suicide Squad",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/242-enchantress.jpg,
245,Ethan Hunt,75,11,29,30,26,95,266,Male,Human,168 Cm,Unknown,Ethan Hunt,-,Unknown,😇,"Imf Agent, Training Officer (former), Field Agent, Field Team Leader",-,Formerly: United States Army,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/245-ethan-hunt.jpg,
246,Etrigan,50,85,17,100,100,50,402,Male,Demon,193 Cm,203 Kg,Jason Blood,"Demon #1 (september, 1972)",Dc Comics,😐,-,Hell,"Formerly Justice League Of America, Spirit Squad",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/246-etrigan.jpg,1972.0
247,Evil Deadpool,69,32,50,100,100,100,451,Male,Mutant,188 Cm,95 Kg,Wade Wilson,"Deadpool Vol 2 #44 (december, 2011)",Deadpool,😈,"Mercenary, Assasin",-,Evil Deadpool Corps,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/247-evil-deadpool.jpg,2011.0
248,Evilhawk,50,32,33,70,85,64,334,Male,Alien,191 Cm,106 Kg,Dargin Bokk,"Darkhawk #20 (october, 1992)",Marvel Comics,😈,Crimelord,(formerly) Planet Luq,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/248-evilhawk.jpg,1992.0
249,Exodus,63,81,28,28,100,70,370,Male,Mutant,183 Cm,88 Kg,Bennet Du Paris,"X-factor #92 (july, 1993)",Marvel Comics,😈,"Terrorist, Would-be Conqueror, Former Leader Of The Acolytes, Crusader","Currently Mobile, Formerly Avalon","Acolytes, Formerly Brotherhood And Marauders",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/249-exodus.jpg,1993.0
251,Falcon,38,13,50,28,22,64,215,Male,Human,188 Cm,108 Kg,Sam Wilson,"Captain America #117 (september, 1969)",Marvel Comics,😇,"Crimefighter, (former) Freelance Artist","New York, New York; Formerly Avengers Mansion, New York City, New York; S.h.i.e.l.d. Helicarrier.","Mighty Avengers, Avengers, S.h.i.e.l.d.; Partner Of Redwing; Formerly Heroes For Hire, Partner Of Captain America, Secret Avengers, S.h.i.e.l.d. Super-agents (leader), Defenders, Ally Of Secret Warriors , Defenders For A Day",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/251-falcon.jpg,1969.0
252,Fallen One Ii,88,85,83,100,100,56,512,Male,Unknown,Unknown,Unknown,,-,Marvel Comics,😈,-,-,Heralds Of Galactus,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/252-fallen-one-ii.jpg,
253,Faora,88,95,75,100,98,90,546,Female,Kryptonian,Unknown,Unknown,Faora Hu-ul,"Action Comics #471 (may, 1977)",Dc Comics,😈,Serial Killer,Phantom Zone; Formerly Krypton,Phantom Zone Criminals,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/253-faora.jpg,1977.0
254,Feral,38,28,45,28,27,70,236,-,Unknown,175 Cm,50 Kg,Maria Callasantos,New Mutants #99,Marvel Comics,😇,"Formerly Adventurer, Terrorist",Base Of Operations Unknown,"Formerly Morlocks, X-force, Mutant Liberation Front",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/254-feral.jpg,
256,Fin Fang Foom,50,81,23,100,75,70,399,Male,Kakarantharaian,975 Cm,18 Tons,,-,Marvel Comics,😇,-,"New York, Formerly Valley Of The Sleeping Dragon In China","Affiliation ""fin Fang Four,"" Former Ally Of The Mandarin, Pawn Of Doctor Vault, Member Of Starship Crew",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/256-fin-fang-foom.jpg,
257,Firebird,38,8,40,14,100,42,242,Female,Unknown,165 Cm,56 Kg,Bonita Juarez,Incredible Hulk Vol. 2 #265,Marvel Comics,😇,"Social Worker, Adventurer",New Mexico,"Catholic Church; Formerly The Rangers, Provisional Member Of The Avengers West Coast, Queen's Vengeance",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/257-firebird.jpg,
258,Firelord,38,63,75,90,52,28,346,-,Unknown,193 Cm,99 Kg,Pyreus Kril,Thor Vol. 1 #225,Marvel Comics,😇,"Former Starship Captain, Former Herald Of Galactus",Mobile; Usually In Space,"Formerly Nova Corps, Guardians Of The Galaxy (in An Alternate Future)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/258-firelord.jpg,
259,Firestar,50,8,54,55,71,32,270,Female,Mutant,173 Cm,56 Kg,Angelica Jones,"Uncanny X-men #193 (may, 1985)",Marvel Comics,😇,Student,"New Warriors Crash Pad, New York City, New York State; Avengers Mansion, New York City, New York State; And Formerly Massachusetts Academy, Snow Valley, Massachusetts","New Warriors Reservist, Avengers Reservist, And Former Hellion And Student Of The White Queen",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/259-firestar.jpg,1985.0
260,Firestorm,50,53,58,56,100,42,359,Male,Unknown,Unknown,Unknown,Jason Rusch,Firestorm (volume 3) #1,Dc Comics,😇,University Student; Former Food Server At Bryson's Family Treat; Former Mascot At Ho-ho Charlie's Chicken Shack; Former Intern At S.t.a.r. Labs,"Detroit, Michigan","Justice League Of America, Formerly Lexcorp",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/260-firestorm.jpg,
261,Firestorm,38,80,58,80,100,40,396,Male,Human,188 Cm,91 Kg,Ronald Raymond,"Firestorm #1 (march, 1978)",Dc Comics,😇,Adventurer; Former Employee Of Bun 'n Run,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania","Firestorm Matrix, Justice League,formerly Black Lantern Corps, Power Company, White Lantern Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/261-firestorm.jpg,1978.0
263,Flash,63,10,100,50,68,32,323,Male,Human,180 Cm,81 Kg,Jay Garrick,Flash Comics #1 (january 1940),Dc Comics,😇,"Research Scientist, Part-time Director Of Garrick Laboratories","Keystone City, Kansas","Justice Society Of America, Flash Family; Formerly All-star Squadron",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/263-flash.jpg,1940.0
265,Flash Ii,88,48,100,60,100,60,456,Male,Black Racer,183 Cm,88 Kg,Barry Allen,"Showcase #4 (october, 1956)",Black Racer,😇,Forensic Scientist,"Central City, Missouri","Flash Family, Justice League Of America; Formerly Blue Lantern Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/265-flash-ii.jpg,1956.0
266,Flash Iii,63,10,100,60,100,32,365,Male,Human,183 Cm,86 Kg,Wally West,"Flash #110 (january, 1960)",Speed Demon,😇,"Adventurer, Mechanic For The Kcpd","Keystone City, Kansas","Flash Family, Justice League Of America, Titans; Formerly Teen Titans",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/266-flash-iii.jpg,1960.0
267,Flash Iv,63,10,100,32,100,48,353,Male,Human,157 Cm,52 Kg,Bartholomew Allen Ii,(as Impulse) Flash V.2 #91 (june 1994)* (as Kid Flash) Teen Titans V.3 #4 (december 2003),Impulse,😇,Police Trainee,"Los Angeles, California (previously Manchester, Alabama, Briefly Denver, Colorado, Then Keystone City, Kansas)","Flash Family, Teen Titans, Legion Of Super-heroes; Formerly Young Justice",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/267-flash-iv.jpg,1994.0
268,Forge,63,10,12,28,25,48,186,-,Unknown,183 Cm,81 Kg,,Uncanny X-men #184,Marvel Comics,😇,"Inventor Working For The U.s. Government, Former Soldier","Arlington, Virginia",X-factor,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/268-forge.jpg,
269,Franklin Richards,63,80,50,60,100,50,403,Male,Mutant,142 Cm,45 Kg,Franklin Richards,Fantastic Four Annual #6,Marvel Comics,😇,Student,"Baxter Building, New York, New York (formerly) Four Freedoms Plaza; Pier 4; Massachusetts Academy","Future Foundation; Formerly Power Pack, Generation X, Daydreamers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/269-franklin-richards.jpg,
270,Franklin Storm,38,10,1,1,0,10,60,-,Unknown,188 Cm,92 Kg,Dr. Franklin Storm,Fantastic Four #31,Marvel Comics,😇,Surgeon,Inapplicable,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/270-franklin-storm.jpg,
271,Frenzy,63,53,35,100,38,52,341,Female,Unknown,211 Cm,104 Kg,Joanna Cargill,X-factor Vol 1 #4,Marvel Comics,😈,Mercenary,Mobile; Formerly Avalon In Earth Orbit; Genosha; California,"Acolytes, Formerly Alliance Of Evil; Temporarily X-men While Controlled By Jean Grey, Femizons",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/271-frenzy.jpg,
273,Galactus,100,100,83,100,100,50,533,Male,Cosmic Entity,876 Cm,16 Tons,Galan,Fantastic Four #48 (march 1966),Marvel Comics,😐,"Planet Devourer, Third Force Of The Universe - Balance Between Eternity And Death, Nullifying Abraxas' Influence On The Multiverse, Third Face Of The Living Tribunal - Representing Equity",Worldship (aka Taa Ii); Though He Is Generally Mobile Throughout The Universe Via His Spherical Starship In Search Of Suitable Planets To Consume.,Heralds Of Galactus; Formerly God Squad,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/273-galactus.jpg,1966.0
274,Gambit,63,10,23,28,55,84,263,Male,Mutant,185 Cm,81 Kg,Remy Etienne Lebeau,"(as Gambit) Uncanny X-men #266 (1990), (as Death) X-men #184 (2006)",Marvel Comics,😇,"Jean Grey School For Higher Learning, Salem Center, Westchester County, New York; Formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois","(current) Xavier Institute, Salem Center, Westchester County, New York; (former) New Orleans, Louisiana; Paris, France; Cairo, Illinois;","X-men (team Wolverine); Formerly Marauders, Horsemen Of Apocalypse, Chevaliers, X-treme X-men, Thieves & Unified Guild's Of New Orleans, Crimson Pirates",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/274-gambit.jpg,1990.0
275,Gamora,75,85,42,85,53,100,440,Female,Zen-whoberian,183 Cm,77 Kg,Gamora Zen Whoberi Ben Titan,"Strange Tales #180 (june, 1975)",Marvel Comics,😇,"Assassin, Mercenary, Adventurer","C.i.t.t.; Formerly Godthab Omega, Monster Island, Sanctuary Ii And The Pocket-dimension Within The Soul Gem; Earth-7528","Guardians Of The Galaxy ; Formerly Phalanx's Selects, Graces (leader), Infinity Watch ; United Front ; Former Minion Of Thanos; Ally Of Adam Warlock And Pip The Troll",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/275-gamora.jpg,1975.0
277,Gary Bell,63,5,8,10,54,10,150,Male,Alpha,Unknown,Unknown,Gary Bell,-,Syfy,😇,-,-,Alphas,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/277-gary-bell.jpg,
